date_created,date_updated,deleted_by_user,user_id,prolific_pid,study_id,wordle_play_frequency,native_english,primed_emotion,has_enhanced_feedback,presurvey_time,baseballcost,lakedays,postsurvey_time,widgettime,did_start_bonus_rounds,end_arousal,end_valence,session_id_x,minutes,crt1,crt2,crt3,crt,control,anger,empathy,anger_empathy,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,First Language,Nationality,Sex,t_anger,t_empathy
2022-04-06 16:29:57.372305,2022-04-06 16:44:06.812076,0,a478a71-ca21-ea34-d14f-b1755cfbc11,561453059786233800,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:29:57.371296,5.0,47.0,2022-04-06 16:44:06.811941,5.0,0,48.0,50.0,624dbe9ccac0c6fccc8a4236,14.15,0,1,1,2,0,1,0,0,APPROVED,2022-04-06 16:24:00.232000,2022-04-06 16:44:15.501000,1215.269,46.0,552,3,99,2022-04-06 19:16:24.256000,42B25E2B,United States,United States,English,United States,Male,1,0
2022-04-06 16:30:52.866954,2022-04-06 16:42:06.277283,0,e3dade6-3b63-525-d07-56b347eca7ef,5105982583072973839,624d956a30b83f43cc403583,101+,1,control,1,2022-04-06 16:30:52.865774,0.1,47.0,2022-04-06 16:42:06.277163,100.0,0,73.0,72.0,624dbf9b892dc77a4b61f483,11.216666666666669,0,0,1,1,0,0,1,0,APPROVED,2022-04-06 16:28:13.784000,2022-04-06 16:42:11.591000,837.807,26.0,707,6,98,2022-04-06 19:16:24.699000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 16:31:13.911623,2022-04-06 16:34:49.787906,0,eaa5f8b-cc35-5f-7e17-bee5da30b1b5,5832392459587200924,624d956a30b83f43cc403583,101+,1,control,1,2022-04-06 16:31:13.910378,5.0,47.0,2022-04-06 16:34:35.881972,5.0,1,68.0,85.0,624dbd1395f6cc52af02f3bd,3.35,0,1,1,2,0,0,1,0,APPROVED,2022-04-06 16:17:24.884000,2022-04-06 16:34:53.101000,1048.217,31.0,2121,2,100,2022-04-06 19:16:24.032000,42B25E2B,United States,United States,English,United States,Male,0,1
2022-04-06 16:31:24.103164,2022-04-06 16:38:53.962219,0,25250cb-5522-15b0-7fa-0778c71eabf0,-6280342846255446954,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:31:24.102086,0.05,47.0,2022-04-06 16:38:53.962099,5.0,0,54.0,36.0,624dbfc65f75e6d5142a2c0e,7.483333333333333,1,1,1,3,0,1,0,0,APPROVED,2022-04-06 16:29:20.918000,2022-04-06 16:39:04.716000,583.798,22.0,318,0,100,2022-04-06 19:16:24.759000,42B25E2B,Canada,United States,English,United States,Female,1,0
2022-04-06 16:33:23.552052,2022-04-06 16:37:52.255618,0,ea82f6f-03bf-61e2-f720-1c16f1762c1f,369226645881811843,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:33:23.550807,0.1,47.0,2022-04-06 16:37:52.255495,100.0,0,100.0,100.0,624dc01c68c8e6f61665c793,4.466666666666667,0,0,1,1,0,1,0,0,APPROVED,2022-04-06 16:30:35.593000,2022-04-06 16:37:59.832000,444.239,43.0,1242,3,100,2022-04-06 19:16:24.822000,42B25E2B,United States,United States,English,United States,Female,1,0
2022-04-06 16:34:07.442245,2022-04-06 16:40:01.340842,0,3885e8-0d3-2b87-1a44-f7df58ddf1,-4289474228483984339,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:34:07.441187,0.05,47.0,2022-04-06 16:40:01.340726,5.0,0,76.0,70.0,624dbf991221a75e3a00aa53,5.883333333333334,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 16:28:19.634000,2022-04-06 16:40:23.035000,723.401,54.0,1373,0,100,2022-04-06 19:16:24.507000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 16:35:30.692718,2022-04-06 16:42:53.133409,0,78085ef-60ba-3e75-28e-526b5a10c05e,-770302152905816415,624d956a30b83f43cc403583,0,1,control,1,2022-04-06 16:35:30.691540,0.1,24.0,2022-04-06 16:42:37.856701,20.0,1,61.0,100.0,624dc0b91ed07aa441d946b1,7.116666666666666,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 16:33:00.793000,2022-04-06 16:42:48.364000,587.571,30.0,64,0,100,2022-04-06 19:16:25.238000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 16:36:10.454220,2022-04-06 17:04:03.698856,0,0c8aa8a-2f37-bb4e-b07-cefec1ab2532,8693291421519167811,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 16:36:10.453059,0.1,24.0,2022-04-06 17:04:03.698740,100.0,0,72.0,80.0,624dc090ddd64bff146cdacc,27.883333333333333,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 16:32:21.192000,2022-04-06 17:04:09.521000,1908.329,21.0,48,2,98,2022-04-06 19:16:24.964000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 16:36:37.463131,2022-04-06 16:42:42.280291,0,24a2208-f528-70c7-dca8-532a38d12daf,-8159401974759893841,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 16:36:37.461802,0.1,47.0,2022-04-06 16:42:42.280164,5.0,0,87.0,68.0,624dc0ff998ab0d36c719d83,6.066666666666666,0,1,1,2,0,0,1,0,APPROVED,2022-04-06 16:34:09.968000,2022-04-06 16:43:09.214000,539.246,33.0,1729,0,100,2022-04-06 19:16:25.302000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 16:38:02.398578,2022-04-06 16:48:54.089816,0,487625f-ddec-36b8-53fc-71f028ee7bf1,4091293632416128248,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:38:02.397420,0.1,15.0,2022-04-06 16:48:31.169683,5.0,1,75.0,87.0,624dc1492d4acead24e6c2fb,10.466666666666669,0,1,0,1,0,0,0,1,APPROVED,2022-04-06 16:35:24.831000,2022-04-06 16:48:42.355000,797.524,35.0,177,1,100,2022-04-06 19:16:25.452000,42B25E2B,United States,United States,English,United States,Male,1,1
